,Unnamed: 0,INDEX,Hydrophobic_Interaction:PHE387A,Hydrogen_Bond:TYR466A,Hydrogen_Bond:TRP336A,Salt_Bridge:HIS524A,Hydrophobic_Interaction:ASN472A,Hydrogen_Bond:ASN472A,Water_Bridge:ALA365A,Pi-Cation_Interaction:HIS524A,Water_Bridge:ASN472A,Pi-Stacking:PHE381A,Hydrophobic_Interaction:LEU499A,Hydrogen_Bond:GLN384A,Hydrophobic_Interaction:LEU417A,Hydrophobic_Interaction:TYR343A,Halogen_Bond:TYR383A,Hydrophobic_Interaction:LEU408A,Hydrogen_Bond:ASP335A,Hydrogen_Bond:SER374A,Halogen_Bond:SER370A,Hydrophobic_Interaction:VAL498A,Halogen_Bond:ARG410A,Halogen_Bond:MET369A,Halogen_Bond:ASN468A,Pi-Stacking:TYR466A,Pi-Stacking:PHE267A,Halogen_Bond:GLN384A,Water_Bridge:HIS524A,Hydrophobic_Interaction:MET469A,Halogen_Bond:ASP335A,Hydrogen_Bond:PHE497A,Hydrogen_Bond:VAL498A,Hydrogen_Bond:TRP525A,Hydrogen_Bond:ARG410A,Salt_Bridge:ASP335A,Hydrophobic_Interaction:TRP525A,Hydrophobic_Interaction:ILE375A,Halogen_Bond:ASN366A,Hydrophobic_Interaction:ALA476A,Pi-Stacking:TRP336A,Halogen_Bond:ASP496A,Water_Bridge:TYR343A,Hydrophobic_Interaction:PHE497A,Water_Bridge:TRP525A,Hydrogen_Bond:PHE267A,Hydrophobic_Interaction:TYR466A,Hydrophobic_Interaction:ASP335A,Hydrogen_Bond:HIS524A,Halogen_Bond:LEU408A,Pi-Stacking:HIS524A,Hydrogen_Bond:LEU499A,Halogen_Bond:LEU417A,Hydrophobic_Interaction:PHE381A,Hydrogen_Bond:ASP496A,Hydrophobic_Interaction:PRO361A,Hydrophobic_Interaction:TYR383A,Hydrophobic_Interaction:TRP473A,Hydrophobic_Interaction:PHE267A,Pi-Stacking:TRP525A,Halogen_Bond:ASN378A,Hydrophobic_Interaction:TRP336A,Water_Bridge:LEU408A,Hydrophobic_Interaction:THR360A,Hydrophobic_Interaction:MET339A,Halogen_Bond:MET469A,Hydrogen_Bond:ILE363A,Pi-Stacking:TRP473A,Water_Bridge:PHE267A,Hydrophobic_Interaction:PRO371A,Hydrophobic_Interaction:LEU428A,Hydrophobic_Interaction:ALA365A,Hydrogen_Bond:LEU408A,Hydrogen_Bond:TYR383A,Hydrogen_Bond:TYR343A,Hydrophobic_Interaction:HIS524A,Halogen_Bond:ASN472A,LABEL,PRED
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,3,3,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
5,4,4,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7,6,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,8,8,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,9,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
